,Brand,Model,Memory,Storage,Rating,Selling Price
0,OPPO,OPPO A53,4.0,64.0,4.5,11990
1,OPPO,OPPO A53,4.0,64.0,4.5,11990
2,OPPO,OPPO A53,6.0,128.0,4.3,13990
3,OPPO,OPPO A53,6.0,128.0,4.3,13990
4,OPPO,OPPO A53,4.0,64.0,4.5,11990
5,OPPO,OPPO A53,6.0,128.0,4.3,13990
6,OPPO,OPPO A12,4.0,64.0,4.4,10490
7,OPPO,OPPO A12,3.0,32.0,4.4,9490
8,OPPO,OPPO A12,3.0,32.0,4.4,9490
9,OPPO,OPPO A12,3.0,32.0,4.4,9490
10,OPPO,OPPO A12,3.0,32.0,4.4,9490
11,OPPO,OPPO A12,4.0,64.0,4.4,10490
12,OPPO,OPPO A53s 5G,6.0,128.0,4.3,15990
13,OPPO,OPPO A53s 5G,6.0,128.0,4.3,15990
14,OPPO,OPPO A12,4.0,64.0,4.4,10490
15,OPPO,OPPO A53s 5G,8.0,128.0,4.3,17990
16,OPPO,OPPO A53s 5G,8.0,128.0,4.3,17990
17,OPPO,OPPO A33,3.0,32.0,4.3,10490
18,OPPO,OPPO A31,4.0,64.0,4.3,11960
19,OPPO,OPPO A31,4.0,64.0,4.3,11779
20,OPPO,OPPO A74 5G,6.0,128.0,4.3,18979
21,OPPO,OPPO A11K,2.0,32.0,4.2,8990
22,OPPO,OPPO F17 Pro,8.0,128.0,4.3,19990
23,OPPO,OPPO A54,4.0,128.0,4.3,15990
24,OPPO,OPPO A54,4.0,64.0,4.3,14990
25,OPPO,OPPO Reno6 5G,8.0,128.0,4.3,29990
26,OPPO,OPPO Reno6 5G,8.0,128.0,4.3,29990
27,OPPO,OPPO F17 Pro,8.0,128.0,4.3,19990
28,OPPO,OPPO A54,4.0,64.0,4.3,14990
29,OPPO,OPPO A54,4.0,128.0,4.3,15990
30,OPPO,OPPO A54,6.0,128.0,4.3,16990
31,OPPO,OPPO A54,6.0,128.0,4.3,16990
32,OPPO,OPPO A54,4.0,64.0,4.3,14990
33,OPPO,OPPO F17 Pro,8.0,128.0,4.3,19990
34,OPPO,OPPO A31,4.0,64.0,4.3,12199
35,OPPO,OPPO F17,8.0,128.0,4.3,21990
36,OPPO,OPPO A53,6.0,128.0,4.3,15999
37,OPPO,OPPO A16,4.0,64.0,4.3,13850
38,OPPO,OPPO A11K,2.0,32.0,4.2,8990
39,OPPO,OPPO A54,4.0,128.0,4.3,15990
40,OPPO,OPPO Reno5 Pro,8.0,128.0,4.4,35990
41,OPPO,OPPO A16,4.0,64.0,4.4,13990
42,OPPO,OPPO A15,3.0,32.0,4.3,10990
43,OPPO,OPPO F17,6.0,128.0,4.2,16990
44,OPPO,OPPO A15,3.0,32.0,4.3,10990
45,OPPO,OPPO A53,4.0,64.0,4.5,13499
46,OPPO,OPPO A53,6.0,128.0,4.3,15999
47,OPPO,OPPO A74 5G,6.0,128.0,4.3,18380
48,OPPO,OPPO Reno6 Pro,12.0,256.0,4.4,39990
49,OPPO,OPPO A54,6.0,128.0,4.3,16990
50,OPPO,OPPO Reno2 F,6.0,256.0,4.4,19990
51,OPPO,OPPO Reno2 F,6.0,256.0,4.4,19990
52,OPPO,OPPO Reno3 Pro,8.0,256.0,4.4,26798
53,OPPO,OPPO F17,6.0,128.0,4.2,16990
54,OPPO,OPPO A15s,4.0,64.0,4.3,12990
55,OPPO,OPPO A15S,4.0,64.0,4.3,12990
56,OPPO,OPPO Reno3 Pro,8.0,256.0,4.4,27990
57,OPPO,OPPO F19 Pro,8.0,128.0,4.3,21990
58,OPPO,OPPO F19 Pro,8.0,256.0,4.3,23490
59,OPPO,OPPO F19 Pro+,8.0,128.0,4.3,25990
60,OPPO,OPPO F19 Pro+,8.0,128.0,4.3,25990
61,OPPO,OPPO A15S,4.0,64.0,4.3,12889
62,OPPO,OPPO F19 Pro,8.0,128.0,4.3,21990
63,OPPO,OPPO F19 Pro,8.0,256.0,4.3,23490
64,OPPO,OPPO F19 Pro,8.0,256.0,4.3,23490
65,OPPO,OPPO F19 Pro,8.0,128.0,4.3,21990
66,OPPO,OPPO A53,4.0,64.0,4.5,13499
67,OPPO,OPPO F19,6.0,128.0,4.2,19990
68,OPPO,OPPO A15,2.0,32.0,4.0,9989
69,OPPO,OPPO Reno3 Pro,8.0,128.0,4.4,24989
70,OPPO,OPPO A7,4.0,64.0,4.4,10990
71,OPPO,OPPO A15,3.0,32.0,4.3,11249
72,OPPO,OPPO Reno5 Pro,8.0,128.0,4.4,35990
73,OPPO,OPPO F5,6.0,64.0,4.4,24990
74,OPPO,OPPO A5s,2.0,32.0,4.3,8990
